Candidate,Comments,Translated,User,Date,Time
Bong Bong Marcos,A weak presidential candidate Ferdinand Bongbong Marcos Jr. has called on his supporters to exercise restraint especially when faced by supporters from rival candidates,A weak presidential candidate Ferdinand Bongbong Marcos Jr. has called on his supporters to exercise restraint especially when faced by supporters from rival candidates,Rere Sy,5/9/2021,
Bong Bong Marcos,"On May 9, we will vote for the Highest Administrator of our country. Do you think BBM is competent, qualified, and suited for the highest position in the Philippines? He lacks a college degree, has a conviction, is considered a weak leader, and has been associated with cocaine according to Du30. Think about it, college graduates who support BBM and are unemployed. We are not voting for a Barangay councilor. WE ARE VOTING FOR THE PRESIDENT OF THE PHILIPPINES, NOT A PRINCE.","On May 9, we will vote for the Highest Administrator of our country. Do you think BBM is competent, qualified, and suited for the highest position in the Philippines? He lacks a college degree, has a conviction, is considered a weak leader, and has been associated with cocaine according to Du30. Think about it, college graduates who support BBM and are unemployed. We are not voting for a Barangay councilor. WE ARE VOTING FOR THE PRESIDENT OF THE PHILIPPINES, NOT A PRINCE.",Victoria Milo,6/9/2021,
Bong Bong Marcos,"Such a very good breeding from parents of a kind and calm person, this is a good example of one person for our constituents especially to our children to follow this good moral character","Such a very good breeding from parents of a kind and calm person, this is a good example of one person for our constituents especially to our children to follow this good moral character",Sam Francisca,7/9/2021,
Bong Bong Marcos,No to another Marcos especially this one! Ano ba nagawa nyan? Eh nung kasagsagan ng pandemic di ko man lang nakita anino nyan. Panay protesta lang sa pagkatalo nya kahit talo na ng ilang ulit. Kahit sino wag lang yan. Sinungalin at wala naman achievements.,"""No to another Marcos, especially this one! What has he done? During the height of the pandemic, I didn't even see his shadow. All he does is protest after losing repeatedly. Anyone but him. He's dishonest and has no real achievements.""",Christopher Lete,8/9/2021,
Bong Bong Marcos,"Duh, they can't even restraint themselves from each other Batuhan silya bote tubig dafuq! Tell them to vote right, to vote for VP Leni so they will be inspired to be better.","""Duh, they can't even restrain themselves, throwing chairs, bottles, and water what the heck! Tell them to vote wisely, to vote for VP Leni so they will be inspired to be better.""",Genevieve Galano,9/9/2021,
Bong Bong Marcos,"In my own opinion, a good politician doesn't necessarily need to engage in debates because our choice is BBM/SARA, and instead, you should focus on the platforms laid out by your politician because they all claim to have good intentions.","""In my own opinion, a good politician doesn't necessarily need to engage in debates because our choice is BBM/SARA, and instead, you should focus on the platforms laid out by your politician because they all claim to have good intentions.""",Ruben Natingga,10/9/2021,
Bong Bong Marcos,Ambait talaga ng next PRESIDENT natinpositive at good vibes lang para sa Unity kaya IPANALO NATINBBM Bongbong MARCOS,"""The next PRESIDENT is really kind, promoting positivity and good vibes for unity. Let's win with BBM (Bongbong Marcos)!""",Lakay Einor,1/9/2021,
Bong Bong Marcos,"Tama na po ang kalabisan ng mga Marcos., Gising na mga Pilipino huwag na po nating hayaan na maulit pa ang mga nagdaang mga pangyayari. ","""Enough of the excesses of the Marcoses. Wake up, Filipinos! Let's not allow the past events to happen again.""",Marlon Monte,1/9/2021,
Bong Bong Marcos,Si Marcos Jr ay magaling gumawa ng fake news. Fake diploma. Fake achievements. Fake war medals. Absent pa sa debate. May utang na P203b nakakahiya ka.,"""Marcos Jr is good at creating fake news. Fake diploma, fake achievements, fake war medals. Absent even in debates. Owing a debt of P203 billion, shameful.""",Beau Voss,3/9/2021,
Bong Bong Marcos,"Talo na si Marcos jr. Puro Leni na ang sigaw ng mga Pilipino youth, dahil sila ay tech savvy hindi na maloloko ng mga Marcos trolls sa youtube at fb. Alam nila ang katotohanan. Kung walang reference fake news! Kung may reference yan ay facts! Facts shall prevail against the Marcos trolls!","""Marcos Jr. has already lost. The Filipino youth are all about Leni's cause because they are tech-savvy and can't be deceived by Marcos trolls on YouTube and Facebook. They know the truth. If there's no reference, it's fake news! If there's a reference, those are facts! Facts shall prevail against the Marcos trolls!""",Crissa Sanchez,1/9/2021,
Bong Bong Marcos,"Kung ayaw na natin naghihirap tayong lahat, kung ayaw nating ng korupsiyon, bakit tayo boboto sa isang tao na may bahid ng korupsiyon. Kung gusto n'yo ng pagbabago, tigilan natin ang pagboto sa mga politikong mga magnanakaw. Sila po ang magpapasasa tayo ang kawawa.""","""If we don't want all of us to suffer, if we don't want corruption, why would we vote for someone tainted with corruption? If you want change, let's stop voting for politicians who are thieves. They will enjoy, and we will be the ones to suffer.""",John Dy,5/9/2021,
Bong Bong Marcos,"Huwag magpapabudol sa mga manloloko, magnanakaw, sinungaling, tamad, at tax evader. Magiging kawawa ang mga nasa laylayan ng lipunan.","""Don't be deceived by deceivers, thieves, liars, lazy individuals, and tax evaders. Those at the fringes of society will be the ones who will suffer.""",Ros T Cab,1/9/2021,
Bong Bong Marcos,"BBM is just muddling the issue of VP election.Di nya matangap ang kahihiyan inabot nya kay Leni.Ang kapal muks,why not just return all the money your family taken from Filipino people.Mga ganid",BBM is just muddling the issue of the VP election. He can't accept the embarrassment he received from Leni. Shameless! Why not just return all the money your family took from the Filipino people? Greedy.,Chris Munteagudo,1/9/2021,
Bong Bong Marcos,"Hayaan mo siya, hayaan mong malaman niya sa kanyang sarili. Wala namang gustong lokohin. Karapatan niyang malaman ang katotohanan para sa kanyang sarili. Alam niyang siya ang nanalo. Sino ba ang kilala si Robredo? Wala. Hindi siya kilala sa kanyang probinsya, nakakalungkot. Maupo ka, BBM.","""Leaved him alone, Let him find out for himself. No one like to cheated upon. This is his right to find out for himself.He knows he is the winner, Who knew Robredo no one. She is not known in her Province it's a same. Sit down Robredo, go BBM.""",Toni Eaton,8/9/2021,
Bong Bong Marcos,Me sangkatutak na ebidensiya nga... anu ba pinagsasabi ng mga bobong dilaw na move on!? Game over... hayaan nyo islang magdeny.. yun nlng natitira nilang insanidad.,"""There's a plethora of evidence... what are these foolish """"yellow"""" supporters talking about, saying to move on!? Game over... let them keep denying. That's the only bit of insanity they have left.""",Devino Del Panoma,1/9/2021,
Bong Bong Marcos,"dapat nandyan si Harvey!!! para isampal kay leni yong word na ""ITs MY MISTAKES!!! haha..the real pres. elect is, MR BBM!!!!","""Harvey should be there!!! To slap Leni with the words """"It's my mistakes!!!"""" Haha... the real president-elect is Mr. BBM!!!!""",Aise Baimano,2/9/2021,
Bong Bong Marcos,neveragain ang kasalanan ng ama ay di kasalanan ng anak. Pero ang ninakaw ng ama ay namana ng anak,"""Never again"""" - the sins of the father are not the sins of the child. But the stolen wealth of the father is inherited by the child.""",Jack Cadman,2/9/2021,
Bong Bong Marcos,si BBM talaga ang mahal ng filipino ang tunay na president of the philippines at ang susunod na pangulo ng pilipinas....,It seems that many Filipinos truly support BBM as the real president of the Philippines and the next president of the country.,Jacquiline Domingo,2/9/2021,
Bong Bong Marcos,Ang pangulo na naniniwala sa pagkakaisa at hindi nanglalait sa kampanya ay ang tunay na tinig ng karamihan.,The president who believes in unity and has not slandered the campaign the true voice of the majority is palpable.,Joy Martinez,3/9/2021,
Bong Bong Marcos,Basta ang alam ko peaceful dun samin nuon si Marcos presidente..kahit maglalakad kmi sa Gabi p�uwe ng bahay galing market ng nanay ko walang kriminal na nakakatakot.. not like ngayon Aquino nakaupo.. nakakatakot gabihin sa daan daming holdaper at rapist,"""All I know is, it was peaceful in our area back when Marcos was the president. Even when we walked home at night from my mom's market, there were no criminals to be afraid of. It's not the same now with Aquino in office. It's frightening to walk on the streets at night due to the numerous robbers and rapists.""",Yanie Soriano,4/9/2021,
Ernesto Abella,Kids should know Ernesto Abella or Norberto Gonzales is a better deal than Leni Robredo.,Kids should know Ernesto Abella or Norberto Gonzales is a better deal than Leni Robredo.,Ava,,7:16 PM
Ernesto Abella,Secretary Ernesto Abella is the best president we will NEVER have. #SMNITheDeepProbe,Secretary Ernesto Abella is the best president we will NEVER have. #SMNITheDeepProbe,benign0,,7:35 PM
Ernesto Abella,Ernesto Abella both speak with the air of a typical respectable and smart statesman.,Ernesto Abella both speak with the air of a typical respectable and smart statesman.,Lakay,,7:47 PM
Ernesto Abella,Ernesto Abella speaks well and articulates his point well. No wonder he was chosen as Duterte�s spokesperson.,Ernesto Abella speaks well and articulates his point well. No wonder he was chosen as Duterte�s spokesperson.,ilda,,7:35 PM
Ernesto Abella,Ernesto Abella has far better credentials and more experience than some of those potential presidential candidates who are often absent. They just don�t have enough exposure. #SMNIpresidentialdebate,Ernesto Abella has far better credentials and more experience than some of those potential presidential candidates who are often absent. They just don�t have enough exposure. #SMNIpresidentialdebate,reeze wiiiz,,7:44 PM
Ernesto Abella,Ernesto Abella is SLAYING them all! More productive industries and an entrepreneurial people! #CNNPHPresidentialDebate,Ernesto Abella is SLAYING them all! More productive industries and an entrepreneurial people! #CNNPHPresidentialDebate,JR Santiago,,12:39 AM
Ernesto Abella,"We need  Mr. Ernesto Abella to lead the country. Please help and guide them, sirs.","We need  Mr. Ernesto Abella to lead the country. Please help and guide them, sirs.",millie,,8:27 PM
Ernesto Abella,"Former presidential spokesman Ernesto Abella has found his true calling with his sepulchral voice as dfa usec. Come to think of it, he would make a good overall spokesman on the corona virus. His voice alone imparts the message - keep calm, dont panic.","Former presidential spokesman Ernesto Abella has found his true calling with his sepulchral voice as dfa usec. Come to think of it, he would make a good overall spokesman on the corona virus. His voice alone imparts the message - keep calm, dont panic.",Raissa Robles,,11:10 AM
Ernesto Abella,"After watching the debate, I have renewed respect for Ernesto Abella. What a revelation. He may not win but he is leagues better than the like of Leni, Isko, Ping and especially Manny.","After watching the debate, I have renewed respect for Ernesto Abella. What a revelation. He may not win but he is leagues better than the like of Leni, Isko, Ping and especially Manny.",Ryan Zambrano,,11:53 PM
Ernesto Abella,Love love Ernesto Abella. Wish we have more Presidential candidates like him.,Love love Ernesto Abella. Wish we have more Presidential candidates like him.,Zoe,,7:44 PM
Ernesto Abella,Ernesto Abella is alsp then-public officials who do not hold public office at this point. Why give him special treatment?,Ernesto Abella is alsp then-public officials who do not hold public office at this point. Why give him special treatment?,Christer,,6:17 AM
Ernesto Abella,ernesto abella lowkey sounds like noynoy aquino on 1.25x speed #cnnphpresidentialdebate,ernesto abella lowkey sounds like noynoy aquino on 1.25x speed #cnnphpresidentialdebate,Maca,,8:09 AM
Ernesto Abella,Ernesto Abella's is consistent on pushing our country to center national investments on agriculture. Nice!,Ernesto Abella's is consistent on pushing our country to center national investments on agriculture. Nice!,Don Monching,,7:14 PM
Ernesto Abella,Yall better not be sleeping on Ernesto Abella. His idea on civil society involvement on law enforcement/LGU services has a lot of good potential in setting the right tone of proactiveness.,Yall better not be sleeping on Ernesto Abella. His idea on civil society involvement on law enforcement/LGU services has a lot of good potential in setting the right tone of proactiveness.,Ann Torres,,8:11 PM
Ernesto Abella,I agree with Ernesto Abella that a political party should be issue-based and not personality-oriented and that it should not only exist or be active only during elections. #PiliPinasDebates2022,I agree with Ernesto Abella that a political party should be issue-based and not personality-oriented and that it should not only exist or be active only during elections. #PiliPinasDebates2022,Jan,,7:35 PM
Ernesto Abella,I now realize Ernesto Abella was the lesser evil and probably the better Presidential candidate in the 2022 election.,I now realize Ernesto Abella was the lesser evil and probably the better Presidential candidate in the 2022 election.,Joal,,12:14 PM
Ernesto Abella,I like Ernesto Abella's points too! Good thing they were given a chance to attend a debate. Hopefully there'll be more and not only the 5 top presidentiables will be invited to attend,I like Ernesto Abella's points too! Good thing they were given a chance to attend a debate. Hopefully there'll be more and not only the 5 top presidentiables will be invited to attend,Rose Anne,,9:06 AM
Ernesto Abella,"According to a source, presidential bet Ernesto Abella will not attend the presser. #PHVote #WeDecide","According to a source, presidential bet Ernesto Abella will not attend the presser. #PHVote #WeDecide",Neil Mercado,,7:29 AM
Ernesto Abella,"Ernesto Abella: Naniniwala ako na if we make the right decisions, we can have a nation that is worthy of Filipinos and Filipinos worthy of our nation.","Ernesto Abella: Naniniwala ako na if we make the right decisions, we can have a nation that is worthy of Filipinos and Filipinos worthy of our nation.",Inday Espina,,10:08 PM
Ernesto Abella,"Ernesto Abella's solution to the pandemic sounds just like the IATF. What's new? ""Less authority""? We didn't hear him speak out on this over the last two years as the Duterte regime lashed out at citizens to hide inefficiency -- and corruption. #PiliPinasDebates2022 #PHVote","Ernesto Abella's solution to the pandemic sounds just like the IATF. What's new? ""Less authority""? We didn't hear him speak out on this over the last two years as the Duterte regime lashed out at citizens to hide inefficiency -- and corruption. #PiliPinasDebates2022 #PHVote",Marc Cayabyab,,8:07 PM
Ernesto Abella,"Sir Ernesto Abella deserved to be on top 5 in our presidential rankings, just wow! Like much more deserving than those ranking in top 3s... ","Sir Ernesto Abella deserved to be on top 5 in our presidential rankings, just wow! Like much more deserving than those ranking in top 3s... ",Juliette,,7:24 PM
Faisal Mangondato,"Faisal Mangondato, God willing. Ibugay, guide us, O Allah, with the good plan. What else do you, my Muslim siblings, want, aside from Jun and Faisal, and the other Muslim candidates","faisal mangondato, god willing. ibugay, guide us, o allah, with the good plan. what else do you, my muslim siblings, want, aside from jun and faisal, and the other muslim candidates",moomoo0875,1/8/2022,10:00 AM
Faisal Mangondato,Faisal mangondato is My president,faisal mangondato is my president,raimahpark9031,1/8/2022,10:00 AM
Faisal Mangondato,"Are you going to order/request something, Papa Faisal, because we're helping you here in the Philippines? Like are you boasting, are you asking for help, or what?","are you going to order/request something, papa faisal, because we're helping you here in the philippines? like are you boasting, are you asking for help, or what?",happylife1103,1/8/2022,10:00 AM
Faisal Mangondato,I vote for you Faisal magondadato congrats,i vote for you faisal magondadato congrats,anoverconchinta6530,1/8/2022,10:00 AM
Faisal Mangondato,"Mangondato keeps asking questions, but he's getting different answers. He should just give his vote to Isko because it's unlikely for him to become the president of the Philippines as per Allah's will.","mangondato keeps asking questions, but he's getting different answers. he should just give his vote to isko because it's unlikely for him to become the president of the philippines as per allah's will.",happylife1103,1/9/2022,11:00 AM
Faisal Mangondato,I hope you win,i hope you win,sibahaslimah482,1/10/2022,12:00 PM
Faisal Mangondato,"If you only want to develop Marawi, I don't think you will win.","if you only want to develop marawi, i don't think you will win.",,1/11/2022,1:00 PM
Faisal Mangondato,"Ok, now it's time for magondato to drink his mango juice!","ok, now it's time for magondato to drink his mango juice!",hyperboytkl1077,1/12/2022,2:00 PM
Faisal Mangondato,Inshallah ito presidente ko,inshallah ito presidente ko,alnorbadi2476,1/13/2022,3:00 PM
Faisal Mangondato,im sorry sir but it�s the best if you understood your situation,im sorry sir but it�s the best if you understood your situation,nenaespartero2748,1/14/2022,4:00 PM
Faisal Mangondato,we agree on federalism for our country and development,we agree on federalism for our country and development,khalidbntdumagay7939,1/15/2022,5:00 PM
Faisal Mangondato,He needs to respond faster to convince us,he needs to respond faster to convince us,rayvienes633,1/16/2022,6:00 PM
Faisal Mangondato,super slow respond he just wasted his time,super slow respond he just wasted his time,ranistheman,1/17/2022,7:00 PM
Faisal Mangondato,you should've just run for senator,you should've just run for senator,Pinky-Peachy,1/18/2022,8:00 PM
Faisal Mangondato,All people of Philippines should vote Faisal all the Muslim should vote Faisal,all people of philippines should vote faisal all the muslim should vote faisal,johainaabdullah2806,1/19/2022,9:00 PM
Isko Moreno,We will support 100% sen.�Isko Moreno�#TuloyAngLaban2025,We will support 100% sen.�Isko Moreno�#TuloyAngLaban2025,Jeric Tee,,2:00 PM
Isko Moreno,"Go k lng sir Yorme Isko Moreno Domagoso, my entire family supports you. Keep fighting, stay strong, just keep going, sir.","Go k lng sir Yorme Isko Moreno Domagoso, my entire family supports you. Keep fighting, stay strong, just keep going, sir.",Gemma Pontawe,,5:00 PM
Isko Moreno,Isko has the gall to beg Pduts his support without reservation just for his selfish ambition. He looks more desperate as the election is coming and it shows that he is not sure of clinching the position he is aspiring for without the help of someone to lift his chances of winning.,Isko has the gall to beg Pduts his support without reservation just for his selfish ambition. He looks more desperate as the election is coming and it shows that he is not sure of clinching the position he is aspiring for without the help of someone to lift his chances of winning.,Abok Abok,,11:23 PM
Isko Moreno,That is why people see him as a �political butterfly� and seems he would do almost anything (or might compromise his loyalty) for his �ambition�,That is why people see him as a �political butterfly� and seems he would do almost anything (or might compromise his loyalty) for his �ambition�,Z�r Patrizio,,11:32 PM
Isko Moreno,Its a show of his true character and principle. It is time for those voters looking for better leader than Duterte to abandon the too ambitious Isko,Its a show of his true character and principle. It is time for those voters looking for better leader than Duterte to abandon the too ambitious Isko,Ronald Tagalog,,1:56 PM
Isko Moreno,NOT FOR THIS TIME ISKO DYAN KA MUNA SA MANILA FOR GOOD.,NOT FOR THIS TIME ISKO DYAN KA MUNA SA MANILA FOR GOOD.,Von Nery,,12:30 PM
Isko Moreno,"BBM is a weak leader, and spoiled brat sabi mismo ni Duterte. Isko is better than BBM.","BBM is a weak leader, and spoiled brat sabi mismo ni Duterte. Isko is better than BBM.",CJ Lazaga,,12:02 PM
Isko Moreno,political prostitute na talaga,political prostitute na talaga,Jay Tubo,,7:31 AM
Isko Moreno,"What a shame, isko","What a shame, isko",Suzie Dizon,,
Isko Moreno,spotted trapo iskomonista,spotted trapo iskomonista,Mhar,,1:15 PM
Isko Moreno,comedy si isko trapong trapo,comedy si isko trapong trapo,Christopher A.,,7:49 AM
Isko Moreno,"Seriously.. you really need to plead.. oh my God.. you're pitying yourself, Mayor..tska..tsk","Seriously.. you really need to plead.. oh my God.. you're pitying yourself, Mayor..tska..tsk",Jane Melton,,9:48 AM
Isko Moreno,#PoliticalButterfly,#PoliticalButterfly,Sinamban Cath,,2:14 PM
Isko Moreno,"Poor thing, this is so desperate, hahahaha.","Poor thing, this is so desperate, hahahaha.",Kristin Mari,,8:29 AM
Isko Moreno,That Isko is too ambitious.,That Isko is too ambitious.,Arnold Montano,,2:15 PM
Isko Moreno,Why would you seek an endorsement from the President who has submerged the Philippines in so much debt?,Why would you seek an endorsement from the President who has submerged the Philippines in so much debt?,Gina Canasa,,9:23 AM
Isko Moreno,The endorsement of Manila's corrupt officials is disgusting.,The endorsement of Manila's corrupt officials is disgusting.,Connie Hipolito,,11:58 AM
Isko Moreno,Is the mayor extremely desperate now?,Is the mayor extremely desperate now?,Francis D.,,12:30 PM
Isko Moreno,Raccoon,Raccoon,Paolo Rey Pia�a,,9:02 AM
Isko Moreno,"Consistently switching political parties and still playing the pitiful card�yuck, bikini boy.","Consistently switching political parties and still playing the pitiful card�yuck, bikini boy.",Grace Bernabe,,6:48 PM
Isko Moreno,Iskoterte is very thirsty,Iskoterte is very thirsty,Syl Via,,11:34 AM
Isko Moreno,"Poor thing, it's really frustrating to be a troublemaker.","Poor thing, it's really frustrating to be a troublemaker.",Enebrad Maghopoy,,10:07 AM
Isko Moreno,"If Isko wins, he can really do something for our country. Yorme Isko Moreno can accomplish a lot for our nation.","If Isko wins, he can really do something for our country. Yorme Isko Moreno can accomplish a lot for our nation.",Supsup Cala�as,,11:04 AM
Isko Moreno,"I have nothing to say about Isko except that he is a good leader. We will vote for you, Isko. Trust that you have our support, Isko Moreno.","I have nothing to say about Isko except that he is a good leader. We will vote for you, Isko. Trust that you have our support, Isko Moreno.",Renee Reese,,6:30 PM
Isko Moreno,This Isko is really the best actor. Mang Kanor is the one truly behind your candidacy. You're his supposed 'silent candidate.,This Isko is really the best actor. Mang Kanor is the one truly behind your candidacy. You're his supposed 'silent candidate.,Joyce Gandollas,,4:31 PM
Isko Moreno,I really support Isko. I think Isko Moreno is a good presidential candidate. Isko loves the people very much.,I really support Isko. I think Isko Moreno is a good presidential candidate. Isko loves the people very much.,Ikerne Tawan,,9:45 AM
Jose Montemayor Jr.,"He is a cardiologist (doctor), lawyer, economist, and a professor in medicine and law. He is affiliated with the heart center of the Philippines. He is a very good person. Surely, he is not corrupt because his wealth does not come from politics; he earned everything through hard work in his professions as a lawyer and doctor.","He is a cardiologist (doctor), lawyer, economist, and a professor in medicine and law. He is affiliated with the heart center of the Philippines. He is a very good person. Surely, he is not corrupt because his wealth does not come from politics; he earned everything through hard work in his professions as a lawyer and doctor.",nothing-nf8ve,10/1/2021,
Jose Montemayor Jr.,"He is the best candidate for the presidency, being a lawyer, doctor (Cardiologist, internist), economist, virologist, writer of 150 books, and a Christian. He can contribute significantly to our country. He is the standard bearer of the Democratic Party of the Philippines.","He is the best candidate for the presidency, being a lawyer, doctor (Cardiologist, internist), economist, virologist, writer of 150 books, and a Christian. He can contribute significantly to our country. He is the standard bearer of the Democratic Party of the Philippines.",susancandelaria5715,6/2/2021,
Jose Montemayor Jr.,"Go, Dr. Montemayor! ""I know you are speaking the truth.""","Go, Dr. Montemayor! ""I know you are speaking the truth.""",user-lf6hd9og3q,10/4/2021,
Jose Montemayor Jr.,"As long as the impact is strong because the craziness has gone too far, that's what's happening. How can I get a check-up here? What if what I'm feeling, like insomnia, turns out to be a brain tumor? It's difficult if this is the doctor you found.","As long as the impact is strong because the craziness has gone too far, that's what's happening. How can I get a check-up here? What if what I'm feeling, like insomnia, turns out to be a brain tumor? It's difficult if this is the doctor you found.",arnelzamora3838,7/1/2021,
Jose Montemayor Jr.,"Can you please stop your craziness! Just go home to your house, sleep it off, and maybe when you wake up, your mind will be clear. ??????","Can you please stop your craziness! Just go home to your house, sleep it off, and maybe when you wake up, your mind will be clear. ??????", leilanicadao4663,7/2/2021,
Jose Montemayor Jr.,This guy is delusional,This guy is delusional, @user08532,3/1/2022,
Jose Montemayor Jr., This candidate mouth is too big! He is talking as if he is in a court room and he is no freaking idea how to run a good economy. Debt is bad to a country? If this is true then even the richest country has nil debts. Really this guy is using his candidacy to promote himself as a lawyer to attract more clients. He should throw the towel knowing he has a very slim chance. In fact he was very happy when CNN invited him., This candidate mouth is too big! He is talking as if he is in a court room and he is no freaking idea how to run a good economy. Debt is bad to a country? If this is true then even the richest country has nil debts. Really this guy is using his candidacy to promote himself as a lawyer to attract more clients. He should throw the towel knowing he has a very slim chance. In fact he was very happy when CNN invited him., Arman Viscayno,,
Jose Montemayor Jr., Dr./Atty Jose Joey Montemayor a man of GOD will be the best President! GOD bless you, Dr./Atty Jose Joey Montemayor a man of GOD will be the best President! GOD bless you, Annie Diamante,,
Jose Montemayor Jr.," Oh my god, he's just embarrassing himself/herself."," Oh my god, he's just embarrassing himself/herself.", @mntraye024,10/5/2021,
Jose Montemayor Jr., He is just plain bullshit. The audacity., He is just plain bullshit. The audacity., @roman0384,7/1/2021,
Jose Montemayor Jr., Montemayor has a potential of being a good and brainy president , Montemayor has a potential of being a good and brainy president , @kawaiinachate9017,,
Jose Montemayor Jr.," Dr. Montemayor you are the Jack of all trades, master of many. You can be a good leader of our country. I will vote for you."," Dr. Montemayor you are the Jack of all trades, master of many. You can be a good leader of our country. I will vote for you.", @jnjs7844,10/5/2021,
Jose Montemayor Jr.,"Dr.Montemayor you are a real man of God,bold and truth comes out from your mouth,God be with you!
","Dr.Montemayor you are a real man of God,bold and truth comes out from your mouth,God be with you!", @victorsornes8085,10/5/2021,
Jose Montemayor Jr., Digging his own grave deeper each time smh, Digging his own grave deeper each time smh, amitheonlyonelurking,,
Jose Montemayor Jr., The guy reeks of arrogance and deserves that slap. Good for Karmina for standing up to Montemayor's bullshit., The guy reeks of arrogance and deserves that slap. Good for Karmina for standing up to Montemayor's bullshit., Bibingka_malagkit,,
